Wall time,Step,Value
1686724038.0643446,20,165.24444580078125
1686724174.131795,40,165.7888946533203
1686724311.7924514,60,165.6777801513672
1686724447.830813,80,165.5111083984375
1686724584.2033644,100,165.60000610351562
1686724720.7395737,120,163.8333282470703
1686724856.3115873,140,164.04444885253906
1686724992.4467752,160,165.5
1686725131.3227448,180,151.75555419921875
1686725273.8339086,200,149.84445190429688
1686725417.1588175,220,149.022216796875
1686725559.1746838,240,149.44444274902344
1686725728.801234,260,148.93333435058594
1686725904.3962188,280,148.94444274902344
1686726078.7897522,300,149.11111450195312
1686726247.8982298,320,160.96665954589844
1686726418.9954057,340,160.45555114746094
1686726592.0441508,360,149.4888916015625
1686726767.1557095,380,149.25555419921875
1686726941.5866113,400,149.23333740234375
1686727114.5085568,420,149.14443969726562
1686727290.2416635,440,148.9888916015625
1686727463.5126045,460,149.05555725097656
1686727636.8214643,480,149.03334045410156
1686727811.7993155,500,149.27777099609375
1686727984.359547,520,149.46665954589844
1686728158.6655908,540,149.1777801513672
1686728334.3094647,560,149.23333740234375
1686728505.7879143,580,149.1777801513672
1686728678.835141,600,149.1999969482422
1686728850.0007122,620,149.05555725097656
1686729021.373924,640,149.14443969726562
1686729195.1319757,660,148.92222595214844
1686729364.2326183,680,148.6777801513672
1686729536.9335675,700,148.8333282470703
1686729709.7343864,720,148.64443969726562
1686729879.9773126,740,148.57777404785156
1686730052.5501814,760,148.96665954589844
1686730224.3283286,780,148.9888916015625
1686730395.7936766,800,149.1666717529297
1686730568.0529852,820,149.0
1686730738.3251212,840,149.06666564941406
