Wall time,Step,Value
1686657020.9533117,20,164.977783203125
1686657141.6640804,40,165.92222595214844
1686657299.483228,60,165.04444885253906
1686657470.1971881,80,162.87777709960938
1686657644.985033,100,152.37777709960938
1686657820.7222471,120,148.46665954589844
1686657995.5815241,140,148.26666259765625
1686658171.4622037,160,148.46665954589844
1686658346.7941859,180,148.63333129882812
1686658521.4388196,200,148.86666870117188
1686658695.8398535,220,148.94444274902344
1686658872.050759,240,149.04444885253906
1686659047.8061154,260,148.8222198486328
1686659223.086075,280,149.23333740234375
1686659397.1314545,300,149.39999389648438
1686659572.9261582,320,149.07777404785156
1686659748.0008962,340,149.11111450195312
1686659923.1305342,360,148.91111755371094
1686660097.7100573,380,149.0
1686660272.7426467,400,149.27777099609375
1686660448.5449886,420,149.12222290039062
1686660622.873007,440,149.34445190429688
1686660798.4158893,460,149.11111450195312
1686660974.4281218,480,149.3111114501953
1686661149.9801354,500,149.24444580078125
1686661324.2644632,520,148.85556030273438
1686661498.6983232,540,149.0
1686661673.5082529,560,149.2111053466797
1686661847.61344,580,148.75555419921875
1686662023.4500883,600,149.06666564941406
1686662199.465824,620,148.8333282470703
1686662374.902311,640,148.95555114746094
1686662549.5526652,660,148.86666870117188
1686662724.3048077,680,148.95555114746094
1686662899.3040931,700,148.75555419921875
1686663074.8213425,720,148.76666259765625
1686663249.39005,740,148.8000030517578
1686663424.259388,760,149.3111114501953
1686663598.8233333,780,148.8333282470703
1686663773.0875869,800,149.022216796875
1686663950.2171843,820,149.1888885498047
1686664130.0170882,840,148.85556030273438
1686664307.848452,860,149.04444885253906
1686664484.6934087,880,149.07777404785156
1686664660.6270595,900,149.1999969482422
1686664837.0686755,920,149.15554809570312
1686665013.3025687,940,149.04444885253906
1686665189.028496,960,149.08888244628906
1686665365.7003574,980,148.88888549804688
1686665542.6115081,1000,149.0
1686665717.9131017,1020,148.93333435058594
1686665893.5613594,1040,148.84445190429688
1686666069.953657,1060,148.8222198486328
