Wall time,Step,Value
1682965925.0194483,0,1.3577193021774292
1682965932.4746244,1,1.3910179138183594
1682965939.9015977,2,1.3279088735580444
1682965947.3323634,3,1.371286153793335
1682965954.7835338,4,1.3215497732162476
1682965962.2775466,5,1.3902181386947632
1682965969.8131373,6,1.4084972143173218
1682965977.2722225,7,1.3285382986068726
1682965984.71439,8,1.3492785692214966
1682965992.1761754,9,1.367377519607544
1682965999.6461842,10,1.4425816535949707
1682966007.0835783,11,1.3414386510849
1682966014.50487,12,1.3988487720489502
1682966021.9758375,13,1.3869826793670654
1682966029.4665349,14,1.3520538806915283
1682966036.975191,15,1.3926349878311157
1682966044.4397407,16,1.3365445137023926
1682966051.8652506,17,1.4354033470153809
1682966059.2805662,18,1.4791796207427979
1682966066.7161644,19,1.395513892173767
1682966074.1469321,20,1.374104380607605
1682966081.5733302,21,1.3051446676254272
1682966089.0085685,22,1.4326211214065552
1682966096.4448538,23,1.3769817352294922
1682966103.8661888,24,1.3704479932785034
1682966111.299804,25,1.368396520614624
1682966118.7197034,26,1.4537428617477417
1682966126.1768656,27,1.3752851486206055
1682966133.6278589,28,1.3703137636184692
1682966141.0574696,29,1.2609227895736694
1682966148.5632384,30,1.406884789466858
1682966156.0575323,31,1.3000507354736328
1682966163.484136,32,1.3052386045455933
1682966170.9439785,33,1.2456896305084229
1682966178.3752244,34,1.420615315437317
1682966185.7978458,35,1.3437117338180542
1682966193.2358754,36,1.3414899110794067
1682966200.6671488,37,1.2206993103027344
1682966208.1742988,38,1.270459532737732
1682966215.5996752,39,1.3105217218399048
1682966223.0277436,40,1.2810046672821045
1682966230.4560468,41,1.3228907585144043
1682966237.8967648,42,1.2940666675567627
1682966245.3806603,43,1.300531268119812
1682966252.802913,44,1.2751291990280151
1682966260.2534146,45,1.3070400953292847
1682966267.6853552,46,1.3352351188659668
1682966275.083338,47,1.3439046144485474
1682966282.5071228,48,1.3146408796310425
1682966289.9191175,49,1.2400768995285034
1682966297.384757,50,1.2728919982910156
1682966304.854006,51,1.2057279348373413
1682966312.2662137,52,1.3606356382369995
1682966319.7370224,53,1.2950782775878906
1682966327.1688197,54,1.2960528135299683
1682966334.652014,55,1.2432292699813843
1682966342.070946,56,1.2970268726348877
1682966349.4846666,57,1.2542275190353394
1682966356.9744692,58,1.266556978225708
1682966364.3862133,59,1.1894721984863281
1682966371.8226469,60,1.2739839553833008
1682966379.2333744,61,1.2340953350067139
1682966386.652597,62,1.2923387289047241
1682966394.082771,63,1.2287795543670654
1682966401.566542,64,1.2919071912765503
1682966408.9952607,65,1.2338672876358032
1682966416.4065185,66,1.2771176099777222
1682966423.8214612,67,1.3115638494491577
1682966431.2150688,68,1.2009810209274292
1682966438.6418183,69,1.1034716367721558
1682966446.0655854,70,1.2770191431045532
1682966453.4780474,71,1.2649259567260742
1682966460.8719866,72,1.3087270259857178
1682966468.2890823,73,1.230916976928711
1682966475.7118268,74,1.2269476652145386
1682966483.1223273,75,1.2595000267028809
1682966490.539151,76,1.222050666809082
1682966497.9810708,77,1.1742228269577026
1682966505.4797235,78,1.2367382049560547
1682966512.9618788,79,1.2399548292160034
1682966520.4717534,80,1.2693103551864624
1682966527.869537,81,1.2288824319839478
1682966535.3512847,82,1.1312870979309082
1682966542.8049026,83,1.2432562112808228
1682966550.228174,84,1.2372829914093018
1682966557.638267,85,1.1549268960952759
1682966565.0494375,86,1.1734825372695923
1682966572.4536436,87,1.1331653594970703
1682966579.8696187,88,1.2660678625106812
1682966587.289546,89,1.1688015460968018
1682966594.7173717,90,1.15701162815094
1682966602.1472988,91,1.139428973197937
1682966609.5498853,92,1.1668580770492554
1682966616.9752774,93,1.2225126028060913
1682966624.4960341,94,1.1502115726470947
1682966631.9096375,95,1.2283508777618408
1682966639.3038971,96,1.062240481376648
1682966646.7301335,97,1.1284335851669312
1682966654.1809614,98,1.1991016864776611
1682966661.5885134,99,1.2411997318267822
1682966669.0434616,100,1.156948208808899
1682966676.4582045,101,1.2662969827651978
1682966683.9208767,102,1.2160009145736694
1682966691.440029,103,1.1249130964279175
1682966698.873735,104,1.2618852853775024
1682966706.2971818,105,1.14327073097229
1682966713.7098422,106,1.1856359243392944
1682966721.1309333,107,1.1243749856948853
1682966728.547835,108,1.1482800245285034
1682966736.1525226,109,1.1830248832702637
1682966743.5746968,110,1.1810706853866577
1682966750.9793622,111,1.1384668350219727
1682966758.4307938,112,1.1063107252120972
1682966765.8425164,113,1.1240134239196777
1682966773.2441137,114,1.0607693195343018
