Wall time,Step,Value
1683064877.301489,0,1.383795142173767
1683064887.480957,1,1.3980096578598022
1683064897.6273468,2,1.3431758880615234
1683064907.705224,3,1.35989511013031
1683064917.8287725,4,1.3071104288101196
1683064928.0501068,5,1.398680329322815
1683064938.1388023,6,1.3630026578903198
1683064948.181947,7,1.3885033130645752
1683064958.4226153,8,1.3042856454849243
1683064968.5339913,9,1.400171160697937
1683064978.7565558,10,1.399728775024414
1683064988.8377001,11,1.339852213859558
1683064998.9278843,12,1.3196097612380981
1683065009.2140448,13,1.3393205404281616
1683065019.3412397,14,1.375563621520996
1683065029.4340935,15,1.3155990839004517
1683065039.5910378,16,1.3559675216674805
1683065049.6917856,17,1.3830686807632446
1683065059.8453279,18,1.3852943181991577
1683065069.986061,19,1.347812533378601
1683065080.12039,20,1.3175160884857178
1683065090.3532124,21,1.2964975833892822
1683065100.4813447,22,1.3393961191177368
1683065110.5970404,23,1.2446943521499634
1683065120.8996046,24,1.3211067914962769
1683065130.9480217,25,1.294148325920105
1683065141.0443673,26,1.3750653266906738
1683065151.2070477,27,1.3240561485290527
1683065161.2733963,28,1.3139382600784302
1683065171.4893515,29,1.3237799406051636
1683065181.5539446,30,1.3622907400131226
1683065191.7135022,31,1.3479408025741577
1683065201.982706,32,1.355211615562439
1683065212.0641696,33,1.323693037033081
1683065222.1968756,34,1.2385566234588623
1683065232.3582041,35,1.221257209777832
1683065242.4145775,36,1.2389463186264038
1683065252.5354474,37,1.244521975517273
1683065262.7148595,38,1.2492650747299194
1683065272.9293563,39,1.2794272899627686
1683065283.182966,40,1.2610162496566772
1683065293.240812,41,1.237973928451538
1683065303.5062385,42,1.3343085050582886
1683065313.7179706,43,1.2389272451400757
1683065323.8859735,44,1.2276380062103271
1683065334.061802,45,1.270593285560608
1683065344.1609206,46,1.2882486581802368
1683065354.2176204,47,1.2371481657028198
1683065364.409558,48,1.1786977052688599
1683065374.6554317,49,1.3083282709121704
1683065384.7850566,50,1.195531964302063
1683065394.969632,51,1.276888370513916
1683065405.05432,52,1.2631616592407227
1683065415.1300142,53,1.219696044921875
1683065425.3860078,54,1.2670917510986328
1683065435.449924,55,1.2197166681289673
1683065445.6537857,56,1.2488075494766235
1683065455.7933488,57,1.1938753128051758
1683065465.9015908,58,1.1908209323883057
1683065476.118987,59,1.2746480703353882
1683065486.253854,60,1.1883347034454346
1683065496.3656182,61,1.1430469751358032
1683065506.5764549,62,1.254584550857544
1683065516.7225611,63,1.1628410816192627
1683065526.8934429,64,1.2850021123886108
1683065537.0579095,65,1.093327283859253
1683065547.176492,66,1.2608236074447632
1683065557.2858286,67,1.2183574438095093
1683065567.326087,68,1.25162935256958
1683065577.4567282,69,1.229749083518982
1683065587.6859756,70,1.138159990310669
1683065597.8333125,71,1.1931637525558472
1683065607.9665139,72,1.1512908935546875
1683065618.134635,73,1.125002145767212
1683065628.2008905,74,1.165809154510498
1683065638.3370183,75,1.1054743528366089
1683065648.4416182,76,1.1018211841583252
1683065658.5171275,77,1.230178713798523
1683065668.5927355,78,1.0878520011901855
1683065678.7294145,79,1.1396845579147339
1683065688.8539937,80,1.1486839056015015
1683065699.046062,81,1.1677268743515015
1683065709.1238518,82,1.1715487241744995
1683065719.2377276,83,1.211756706237793
1683065729.3777475,84,1.1394590139389038
1683065739.466423,85,1.1666916608810425
1683065749.6803749,86,1.145784854888916
1683065759.8081205,87,1.1990801095962524
1683065769.8021648,88,1.0490034818649292
1683065779.919392,89,1.1380513906478882
1683065790.2850208,90,1.146713137626648
1683065800.369397,91,1.059773325920105
1683065810.581987,92,1.157021164894104
1683065820.702677,93,1.025491714477539
1683065830.755193,94,1.101882815361023
1683065841.0308175,95,1.148876428604126
1683065851.0714183,96,1.1150318384170532
1683065861.2120357,97,1.135151982307434
1683065871.3280945,98,1.1552971601486206
1683065881.4208424,99,1.1446994543075562
1683065891.56417,100,1.0783122777938843
1683065901.749194,101,1.060428261756897
1683065911.8544667,102,1.103110671043396
1683065922.113456,103,1.1004247665405273
1683065932.1994455,104,1.1315244436264038
1683065942.3224487,105,1.1481319665908813
1683065952.525067,106,1.1534373760223389
1683065962.664787,107,1.0976537466049194
1683065972.8299975,108,1.1560757160186768
1683065982.9678218,109,1.0909223556518555
1683065993.0809815,110,1.111929178237915
1683066003.3494732,111,1.1053602695465088
1683066013.4209695,112,1.0128612518310547
1683066023.6285594,113,1.0701438188552856
1683066033.746221,114,1.0385264158248901
1683066043.88608,115,1.1546852588653564
1683066054.0847285,116,1.1205558776855469
1683066064.1079566,117,0.984200656414032
1683066074.1783564,118,0.9930691123008728
1683066084.324345,119,1.17694890499115
1683066094.3626037,120,1.0258415937423706
1683066104.4253519,121,1.0487425327301025
1683066114.7132726,122,1.0408804416656494
1683066124.7956822,123,1.1444416046142578
1683066134.973916,124,1.031428337097168
1683066145.038066,125,1.0338096618652344
1683066155.0685508,126,0.9809880256652832
1683066165.3578029,127,1.0817641019821167
1683066175.540192,128,1.0197986364364624
1683066185.6269495,129,1.102462887763977
1683066195.8788729,130,1.087656021118164
1683066206.0749984,131,1.0441042184829712
1683066216.1453211,132,1.088858962059021
1683066226.3319738,133,1.0064048767089844
1683066236.476222,134,1.052708625793457
1683066246.715644,135,1.1258035898208618
1683066256.8746378,136,1.1265957355499268
1683066267.0032842,137,1.009508728981018
1683066277.1685643,138,1.036991000175476
1683066287.2450254,139,1.004608392715454
1683066297.4318104,140,1.08024263381958
1683066307.5725431,141,1.0712515115737915
1683066317.6299608,142,1.0042370557785034
1683066327.764387,143,1.012511134147644
1683066338.0369024,144,1.0555304288864136
1683066348.1724308,145,1.03533136844635
1683066358.324306,146,1.0006183385849
1683066368.5411282,147,1.0131902694702148
1683066378.5433362,148,1.0732684135437012
1683066388.702976,149,1.0669373273849487
1683066398.8743198,150,1.0175600051879883
1683066408.9851491,151,1.0922775268554688
1683066419.139944,152,0.9953107833862305
1683066429.2054899,153,1.0977766513824463
