Wall time,Step,Value
1686645496.432678,20,152.58888244628906
1686645712.874219,40,152.95555114746094
1686645907.3268352,60,150.41111755371094
1686646072.5921915,80,149.6666717529297
1686646234.2609491,100,164.46665954589844
1686646395.4261687,120,165.76666259765625
1686646555.3851833,140,165.477783203125
1686646715.1646602,160,165.38888549804688
1686646873.057008,180,164.44444274902344
1686647028.544277,200,166.73333740234375
1686647184.9017575,220,165.88888549804688
1686647340.051564,240,165.3333282470703
1686647496.3299475,260,163.84445190429688
1686647651.3575177,280,165.43333435058594
1686647805.759032,300,165.93333435058594
1686647958.7316256,320,164.54444885253906
1686648113.8426478,340,160.64443969726562
1686648269.0516894,360,155.42222595214844
1686648425.0004008,380,152.4888916015625
1686648581.2019792,400,152.34445190429688
1686648737.1804836,420,152.73333740234375
1686648893.200441,440,154.14443969726562
1686649049.2207046,460,152.96665954589844
1686649204.8890026,480,153.11111450195312
1686649360.8835685,500,151.75555419921875
1686649516.8284335,520,150.88888549804688
1686649673.2699711,540,148.57777404785156
1686649830.0507038,560,149.022216796875
1686649986.639425,580,148.76666259765625
1686650143.1947894,600,149.1666717529297
1686650299.1400993,620,150.26666259765625
1686650455.2666333,640,150.04444885253906
1686650611.4485536,660,150.1666717529297
1686650767.9936147,680,150.522216796875
1686650930.967836,700,150.8000030517578
1686651101.6720917,720,150.56666564941406
1686651273.868918,740,150.22222900390625
