Wall time,Step,Value
1686654415.3659337,20,98.8062515258789
1686654653.2176046,40,98.71875
1686654888.7787921,60,98.51249694824219
1686655131.370362,80,96.29374694824219
1686655377.6680648,100,93.54582977294922
1686655643.3196468,120,93.26667022705078
1686655907.6391842,140,92.92500305175781
1686656163.4363856,160,93.16458129882812
1686656413.953685,180,93.12708282470703
1686656666.5353618,200,92.93333435058594
1686656919.5750184,220,93.22083282470703
1686657178.656553,240,92.92708587646484
1686657432.6122212,260,92.60624694824219
1686657686.075522,280,92.65416717529297
1686657941.82918,300,92.68333435058594
1686658198.933662,320,92.58958435058594
1686658451.9526508,340,92.55833435058594
1686658703.0317552,360,92.54792022705078
1686658956.580211,380,92.5687484741211
1686659210.5648592,400,92.55416870117188
