Wall time,Step,Value
1686561194.4861574,20,100.64444732666016
1686561334.5085902,40,101.15555572509766
1686561474.4808836,60,100.68888854980469
1686561614.45318,80,100.93333435058594
1686561752.8862,100,100.82221984863281
1686561891.3871818,120,101.06666564941406
1686562030.3499424,140,100.84444427490234
1686562169.2759547,160,100.80000305175781
1686562308.764402,180,99.56666564941406
1686562447.1702569,200,98.37777709960938
1686562586.7610352,220,98.82221984863281
1686562726.60423,240,97.78888702392578
1686562865.5894873,260,98.42222595214844
1686563005.1993303,280,98.34444427490234
1686563143.9108477,300,100.06666564941406
1686563283.002005,320,99.56666564941406
1686563422.3231049,340,99.47777557373047
1686563562.404564,360,100.05555725097656
1686563701.0049605,380,99.03333282470703
1686563840.0747504,400,98.5888900756836
1686563978.6415563,420,97.96666717529297
1686564113.0785604,440,97.37777709960938
1686564247.4412491,460,98.31111145019531
1686564380.9716325,480,98.11111450195312
1686564516.8469942,500,96.88888549804688
1686564678.130907,520,96.4000015258789
1686564838.0576599,540,96.27777862548828
1686564998.623301,560,95.74444580078125
1686565159.2522826,580,96.12222290039062
1686565319.5951328,600,96.14444732666016
1686565479.1673362,620,96.27777862548828
1686565640.3670888,640,96.95555877685547
1686565800.450009,660,96.5999984741211
1686565960.6750464,680,96.5999984741211
1686566120.5009534,700,96.15555572509766
1686566280.9304879,720,95.72222137451172
1686566440.9655085,740,95.80000305175781
1686566601.4725885,760,96.21111297607422
1686566761.7020001,780,96.14444732666016
1686566920.7063887,800,95.83333587646484
1686567081.8377461,820,95.88888549804688
1686567242.1528876,840,95.9111099243164
1686567402.5605457,860,95.84444427490234
1686567562.7437005,880,95.86666870117188
1686567722.3450708,900,95.80000305175781
1686567881.4549086,920,95.68888854980469
1686568041.934711,940,95.42222595214844
1686568201.8923128,960,95.68888854980469
1686568362.4706933,980,95.28888702392578
1686568522.2949295,1000,95.5111083984375
1686568683.0703874,1020,95.5888900756836
1686568841.9006352,1040,95.69999694824219
1686569000.976512,1060,95.32221984863281
1686569160.7176902,1080,95.33333587646484
1686569319.4746222,1100,95.55555725097656
1686569479.259273,1120,95.74444580078125
1686569638.8103685,1140,95.69999694824219
1686569799.918232,1160,95.74444580078125
1686569961.696268,1180,95.62222290039062
1686570107.0056872,1200,95.5888900756836
1686570241.915732,1220,95.69999694824219
1686570376.857276,1240,95.46666717529297
1686570512.2523932,1260,95.53333282470703
1686570647.8330579,1280,95.45555877685547
1686570782.6715965,1300,95.47777557373047
1686570917.1884472,1320,95.67778015136719
1686571051.9470239,1340,95.35555267333984
1686571186.5420132,1360,95.64444732666016
1686571320.8349965,1380,95.42222595214844
1686571455.5552335,1400,95.4111099243164
1686571590.1985788,1420,95.32221984863281
1686571724.8811018,1440,95.31111145019531
1686571858.9208677,1460,95.54444122314453
1686571993.7143872,1480,95.57777404785156
1686572128.2740293,1500,95.5888900756836
1686572262.992341,1520,95.57777404785156
1686572398.451074,1540,95.56666564941406
1686572533.6173909,1560,95.56666564941406
